numTries,size,x1,x2,fmin,time
3,21,-0.456452374647915,0,-0.641881195330665,0.623883041
4,21,-0.860878018896663,0.508811395883147,-0.666674999007555,0.500399333
1,21,-0.458411170101198,0.520592154000531,-0.782170527155414,0.023570583
2,21,0.792441253177635,0.112554693364286,-1.14255775268782,0.033170208
3,21,0.792101643761155,0.112735188119697,-1.14264710841166,0.051885209
4,21,0.792201889486921,0.112662921054149,-1.14260234006783,0.078572209
1,31,0.184067767173124,0.810480658373339,-0.450408059946706,0.719129917
2,31,-0.478677407900533,0.838646001181338,-0.643519252072851,0.110776167
3,31,0.181600068240627,0.811177788402181,-0.450011626217715,0.868161584
4,31,-0.482665063601589,0.835395521046072,-0.644618630504047,0.679563167
1,31,0.69203742387613,0,-0.544977683677974,0.099638083
2,31,0.692264760211982,0,-0.545107574356085,0.070981084
3,31,0.693278297140802,0,-0.545687444056152,0.1568085
4,31,0.692073084106231,0,-0.544998054250256,0.219101458
1,31,0.773418316738971,0.552651203721268,-0.880800001142395,0.063182959
2,31,0.77343021866074,0.552862524800258,-0.880920270186117,0.079885166
3,31,0.771461436195632,0.553388734536394,-0.879515440793857,0.058695792
4,31,0.773423621766052,0.552796850950203,-0.880880416092677,0.111469541
1,31,-0.153514951387936,0,-0.410968141711845,1.036370042
2,31,0.184294027438295,0.460147604481157,-0.460044658894683,1.625356125
3,31,0.183382821299577,0.458981965928744,-0.459065951044326,0.235528917
4,31,-0.94570008588731,0.325040532169043,-0.554838446091437,0.217488791
1,31,-0.982488919703369,0.186321020446183,-1.06273655474332,0.03346025
2,31,-0.982394601980129,0.186817681176874,-1.06228028054015,0.063044084
3,31,-0.98240868255802,0.186743622205996,-1.062348324254,0.087075166
4,31,-0.982414883778165,0.186710996278032,-1.06237829945041,0.087849375
1,31,0.0526435466790656,0.383221783771433,-0.681002569661475,0.018424792
2,31,-0.929374503335193,0.369138229597617,-0.728654919260406,0.041307
3,31,-0.929421974411409,0.369018689880606,-0.728778195236834,0.054585334
4,31,-0.929365134172291,0.369161817344262,-0.728630593186617,0.081340958
1,31,-0.356738839415337,0,-0.76457008531089,0.024775791
2,31,-0.356325762984302,0,-0.764413089900189,0.061949875
3,31,-0.356894796518261,0,-0.764629408613568,0.159494125
4,31,-0.356997093634529,0,-0.764668335388703,0.206824916
1,31,0.600333219949481,0.617808119597804,-0.510534908773106,0.037947875
2,31,0.600489176453348,0.614726907992323,-0.51257693728985,0.230827125
3,31,0.600482697056102,0.617814578670264,-0.510423274537772,0.081127958
4,31,-0.460649306029519,0.751036836149979,-0.544515193680297,0.180960958
1,31,-0.212983071909627,0.00728372068907049,-0.818980097567649,0.033414083
2,31,-0.212810792780884,0.00727896108685151,-0.819104413634228,0.068638667
3,31,-0.21283002507886,0.00726292283011332,-0.819102336034751,0.101369917
4,31,-0.21297126437444,0.00720941028187119,-0.819041317943258,0.107805375
1,31,0.16272454603215,0.809384522773989,-0.688107482702527,0.049706291
2,31,0.16416069968434,0.81050285434551,-0.687208910355459,0.055608584
3,31,0.164106379504991,0.81044348589276,-0.687259717867466,0.08842975
4,31,0.164229867004105,0.810472010221808,-0.687249522167598,0.149683541
1,41,-0.13595586748588,0.267310944815015,-0.530935731821103,0.099323334
