type,size,x1,x2,fmin,time
2,41,-0.216441931952949,0.742707841148628,-0.656723617824763,0.147080209
4,41,-0.221542773766804,0.752531409237526,-0.658857219676588,0.038694417
5,41,-0.221543345655383,0.752532641801038,-0.658857433090578,0.260924834
6,41,-0.2215434600309,0.752532888309573,-0.658857475772726,0.520206291
2,51,-0.185799809895756,0.301029604870786,-0.518612407885253,0.127655125
4,51,0.884514988238466,0.39994671861849,-0.637707613027884,0.03342175
5,51,0.884515473153443,0.39994666830348,-0.637707817692677,0.239799416
6,51,-0.791664534959026,0.610955768448786,-0.637707817692608,0.507543667
2,51,0.478801761981826,0.432913850234665,-0.534960313276737,0.099651625
4,51,-0.770074951048042,0.0654128715821103,-0.389561707710408,0.043655833
5,51,0.620938290529831,7.73326835055815e-07,-0.519027760150616,0.244119584
6,51,0.62093829052983,7.73326823739324e-07,-0.519027760150621,0.495912375
2,51,-0.473738542484112,0.392477656075947,-0.49754169052606,0.165058583
4,51,0.894311618605369,0.447444611136996,-0.577570896558582,0.020460667
5,51,-0.0803136975249683,0.867425770808454,-0.577570591239252,0.22910575
6,51,-0.780924723951363,0.624623885087895,-0.577570896557862,0.51370575
2,51,0.110934884688831,0.727534590780556,-0.387246647196408,0.116716458
4,51,0.583104319468549,0.750234674091596,-0.435698729447162,0.04421825
5,51,0.702325489048651,0.606614682312978,-0.597083806822811,0.230121625
6,51,0.455060229462392,7.73153462604766e-08,-0.597083349510688,0.524824917
2,51,0.910448430879602,0.078872851086473,-0.44669067979368,0.118222
4,51,-0.845581549002498,0.533846179896413,-0.516713281215466,0.0295935
5,51,0.796196146438706,0.605037935593214,-0.516713281215463,0.234084084
6,51,-0.999999672289068,1.48440089601982e-06,-0.460586257326225,0.500385333
2,61,0.400183456041166,0.24724089474706,-0.595261234935925,0.128485
4,61,0.680741936945712,0.477525986964183,-0.58675850807649,0.031376542
5,61,0.6807419369458,0.477525986964239,-0.586758508076532,0.225173208
6,61,-0.81213166913012,0.196595361955664,-0.586758508081734,0.505095875
2,61,0.945986253486257,0.146738350684088,-0.336698300210169,0.115902625
4,61,0.0428964595017784,0.924042989846782,-0.580978344641019,0.029982
5,61,0.0428964594853229,0.924042989854204,-0.580978344736356,0.220216
6,61,0.0428964594633652,0.924042989861137,-0.58097834465688,0.489776792
2,61,-0.0388001428600085,0.780512384864452,-0.451922931756139,0.129124916
4,61,-0.610778930685032,0.70969196512606,-0.497214422466101,0.035385166
5,61,-0.0417565614400968,0.774852465091341,-0.454316847794076,0.236907333
6,61,-0.0417565614401252,0.774852465091313,-0.497214632226092,0.49467825
2,61,0.200342672538084,0.150612567708663,-0.599328457979646,0.121377542
4,61,-0.752602630679277,0.658474122455156,-0.557507849024589,0.027142959
5,61,0.985290734408233,0.170883544434971,-0.603625718226509,0.25437175
6,61,0.194739418289366,0.14840380781082,-0.603625929551503,0.510352125
2,61,-0.461799427055831,0.686852530656281,-0.584700884660635,0.142293792
4,61,-0.999999436274986,3.88708018645281e-07,-0.270612702573274,0.023860042
5,61,0.724689798758484,0.47015079392458,-0.586891773485747,0.274063625
6,61,-0.465169264259999,0.687747976697119,-0.586891750328003,0.508159958
2,71,0.264434190110164,0.502513294018723,-0.418792178988206,0.215111208
4,71,-0.578336599603137,0.809679943492947,-0.639417596538231,0.038464917
5,71,-0.578335328754518,0.809671909545404,-0.639417370245334,0.241277
6,71,-0.578336356733319,0.809678405781131,-0.639417596538122,0.529798583
2,71,0.857099383310817,0.258332759071509,-0.492233202898126,0.1623975
4,71,0.440702598741321,0.834915774703223,-0.209210298500469,0.056270792
5,71,0.440702598742621,0.834915774705322,-0.498130351371664,0.241563417
6,71,-0.176033301885564,0.810764657842727,-0.49813039251471,0.503880791
2,71,0.898776721940173,0.340430893977367,-0.43226049498036,0.187058291
4,71,0.897057135723025,0.340839721747331,-0.433201797366181,0.040019417
5,71,0.897056994044183,0.34083975186249,-0.515153446403629,0.236544667
6,71,-0.999999981069186,2.99359750648964e-08,-0.515153446403628,0.495414083
